dataset,model,k_reveal,Recall@10
MovieLens-20M,Popularity-Safe,9,0.2046
MovieLens-20M,Popularity-Safe,10,0.2071
MovieLens-20M,LinUCB,1,0.0083
MovieLens-20M,LinUCB,2,0.0071
MovieLens-20M,LinUCB,3,0.014
MovieLens-20M,LinUCB,4,0.0199
MovieLens-20M,LinUCB,5,0.0216
MovieLens-20M,LinUCB,6,0.0391
MovieLens-20M,LinUCB,7,0.0353
MovieLens-20M,LinUCB,8,0.0411
MovieLens-20M,LinUCB,9,0.0402
MovieLens-20M,LinUCB,10,0.0419
MovieLens-20M,SND,1,0.138
MovieLens-20M,SND,2,0.124
MovieLens-20M,SND,3,0.1236
MovieLens-20M,SND,4,0.1258
MovieLens-20M,SND,5,0.1297
MovieLens-20M,SND,6,0.1432
MovieLens-20M,SND,7,0.149
MovieLens-20M,SND,8,0.1534
MovieLens-20M,SND,9,0.1906
MovieLens-20M,SND,10,0.1952
MovieLens-20M,ACS+SND,1,0.1364
MovieLens-20M,ACS+SND,2,0.1292
MovieLens-20M,ACS+SND,3,0.1287
MovieLens-20M,ACS+SND,4,0.1245
MovieLens-20M,ACS+SND,5,0.1193
MovieLens-20M,ACS+SND,6,0.1206
MovieLens-20M,ACS+SND,7,0.1419
MovieLens-20M,ACS+SND,8,0.124
MovieLens-20M,ACS+SND,9,0.1598
MovieLens-20M,ACS+SND,10,0.1652
MovieLens-20M,ACS+SND+R(a),1,0.1373
MovieLens-20M,ACS+SND+R(a),2,0.1329
MovieLens-20M,ACS+SND+R(a),3,0.1287
MovieLens-20M,ACS+SND+R(a),4,0.1245
MovieLens-20M,ACS+SND+R(a),5,0.1191
MovieLens-20M,ACS+SND+R(a),6,0.1198
MovieLens-20M,ACS+SND+R(a),7,0.1419
MovieLens-20M,ACS+SND+R(a),8,0.124
MovieLens-20M,ACS+SND+R(a),9,0.1611
MovieLens-20M,ACS+SND+R(a),10,0.166
MovieLens-25M,Popularity-Safe,1,0.271
MovieLens-25M,Popularity-Safe,2,0.2829
MovieLens-25M,Popularity-Safe,3,0.2855
MovieLens-25M,Popularity-Safe,4,0.29
MovieLens-25M,Popularity-Safe,5,0.2883
MovieLens-25M,Popularity-Safe,6,0.2944
MovieLens-25M,Popularity-Safe,7,0.3105
MovieLens-25M,Popularity-Safe,8,0.3184
MovieLens-25M,Popularity-Safe,9,0.3262
MovieLens-25M,Popularity-Safe,10,0.3259
MovieLens-25M,LinUCB,1,0.0097
MovieLens-25M,LinUCB,2,0.0059
MovieLens-25M,LinUCB,3,0.0074
MovieLens-25M,LinUCB,4,0.0118
MovieLens-25M,LinUCB,5,0.0126
MovieLens-25M,LinUCB,6,0.0069
MovieLens-25M,LinUCB,7,0.0083
MovieLens-25M,LinUCB,8,0.0087
MovieLens-25M,LinUCB,9,0.0093
MovieLens-25M,LinUCB,10,0.0143
MovieLens-25M,SND,1,0.1685
MovieLens-25M,SND,2,0.194
MovieLens-25M,SND,3,0.2002
MovieLens-25M,SND,4,0.2174
MovieLens-25M,SND,5,0.2275
MovieLens-25M,SND,6,0.2244
MovieLens-25M,SND,7,0.2513
MovieLens-25M,SND,8,0.2587
MovieLens-25M,SND,9,0.2706
MovieLens-25M,SND,10,0.2652
MovieLens-25M,ACS+SND,1,0.1544
MovieLens-25M,ACS+SND,2,0.1693
MovieLens-25M,ACS+SND,3,0.151
MovieLens-25M,ACS+SND,4,0.1545
MovieLens-25M,ACS+SND,5,0.1544
MovieLens-25M,ACS+SND,6,0.1457
MovieLens-25M,ACS+SND,7,0.1358
MovieLens-25M,ACS+SND,8,0.16
MovieLens-25M,ACS+SND,9,0.1755
MovieLens-25M,ACS+SND,10,0.1815
MovieLens-25M,ACS+SND+R(a),1,0.1544
MovieLens-25M,ACS+SND+R(a),2,0.1686
MovieLens-25M,ACS+SND+R(a),3,0.151
MovieLens-25M,ACS+SND+R(a),4,0.1546
MovieLens-25M,ACS+SND+R(a),5,0.1563
MovieLens-25M,ACS+SND+R(a),6,0.1458
MovieLens-25M,ACS+SND+R(a),7,0.136
MovieLens-25M,ACS+SND+R(a),8,0.1579
MovieLens-25M,ACS+SND+R(a),9,0.1733
MovieLens-25M,ACS+SND+R(a),10,0.1788
SemanticScholar-bigger,Popularity-Safe,1,0.1279
SemanticScholar-bigger,Popularity-Safe,2,0.1486
SemanticScholar-bigger,Popularity-Safe,3,0.1266
SemanticScholar-bigger,Popularity-Safe,4,0.1317
SemanticScholar-bigger,Popularity-Safe,5,0.136
SemanticScholar-bigger,Popularity-Safe,6,0.1044
SemanticScholar-bigger,Popularity-Safe,7,0.1144
SemanticScholar-bigger,Popularity-Safe,8,0.1145
SemanticScholar-bigger,Popularity-Safe,9,0.1304
SemanticScholar-bigger,Popularity-Safe,10,0.1028
SemanticScholar-bigger,LinUCB,1,0.0196
SemanticScholar-bigger,LinUCB,2,0.0564
SemanticScholar-bigger,LinUCB,3,0.0777
SemanticScholar-bigger,LinUCB,4,0.0846
SemanticScholar-bigger,LinUCB,5,0.1138
SemanticScholar-bigger,LinUCB,6,0.1465
SemanticScholar-bigger,LinUCB,7,0.1078
SemanticScholar-bigger,LinUCB,8,0.122
SemanticScholar-bigger,LinUCB,9,0.1015
SemanticScholar-bigger,LinUCB,10,0.0991
SemanticScholar-bigger,SND,1,0.6815
SemanticScholar-bigger,SND,2,0.6599
SemanticScholar-bigger,SND,3,0.6501
SemanticScholar-bigger,SND,4,0.6643
SemanticScholar-bigger,SND,5,0.6888
SemanticScholar-bigger,SND,6,0.5981
SemanticScholar-bigger,SND,7,0.5028
SemanticScholar-bigger,SND,8,0.5884
SemanticScholar-bigger,SND,9,0.6958
SemanticScholar-bigger,SND,10,0.5732
SemanticScholar-bigger,ACS+SND,1,0.1337
SemanticScholar-bigger,ACS+SND,2,0.0879
SemanticScholar-bigger,ACS+SND,3,0.1242
SemanticScholar-bigger,ACS+SND,4,0.1327
SemanticScholar-bigger,ACS+SND,5,0.1942
SemanticScholar-bigger,ACS+SND,6,0.1912
SemanticScholar-bigger,ACS+SND,7,0.2153
SemanticScholar-bigger,ACS+SND,8,0.2823
SemanticScholar-bigger,ACS+SND,9,0.273
SemanticScholar-bigger,ACS+SND,10,0.354
SemanticScholar-bigger,ACS+SND+R(a),1,0.1327
SemanticScholar-bigger,ACS+SND+R(a),2,0.0879
SemanticScholar-bigger,ACS+SND+R(a),3,0.1242
SemanticScholar-bigger,ACS+SND+R(a),4,0.1247
SemanticScholar-bigger,ACS+SND+R(a),5,0.1942
SemanticScholar-bigger,ACS+SND+R(a),6,0.1912
SemanticScholar-bigger,ACS+SND+R(a),7,0.1995
SemanticScholar-bigger,ACS+SND+R(a),8,0.2823
SemanticScholar-bigger,ACS+SND+R(a),9,0.273
SemanticScholar-bigger,ACS+SND+R(a),10,0.354
SemanticScholar-small,Popularity-Safe,1,0.1342
SemanticScholar-small,Popularity-Safe,2,0.1097
SemanticScholar-small,Popularity-Safe,3,0.1114
SemanticScholar-small,Popularity-Safe,4,0.1114
SemanticScholar-small,Popularity-Safe,5,0.1275
SemanticScholar-small,Popularity-Safe,6,0.1377
SemanticScholar-small,Popularity-Safe,7,0.1545
SemanticScholar-small,Popularity-Safe,8,0.1545
SemanticScholar-small,Popularity-Safe,9,0.1597
SemanticScholar-small,Popularity-Safe,10,0.15
SemanticScholar-small,LinUCB,1,0.0097
SemanticScholar-small,LinUCB,2,0.03
SemanticScholar-small,LinUCB,3,0.04
SemanticScholar-small,LinUCB,4,0.0067
SemanticScholar-small,LinUCB,5,0.0333
SemanticScholar-small,LinUCB,6,0.0345
SemanticScholar-small,LinUCB,7,0.0
SemanticScholar-small,LinUCB,8,0.0
SemanticScholar-small,LinUCB,9,0.0
SemanticScholar-small,LinUCB,10,0.0
SemanticScholar-small,SND,1,0.4758
SemanticScholar-small,SND,2,0.4436
SemanticScholar-small,SND,3,0.5483
SemanticScholar-small,SND,4,0.6442
SemanticScholar-small,SND,5,0.6684
SemanticScholar-small,SND,6,0.6972
SemanticScholar-small,SND,7,0.7284
SemanticScholar-small,SND,8,0.6942
SemanticScholar-small,SND,9,0.6111
SemanticScholar-small,SND,10,0.5733
SemanticScholar-small,ACS+SND,1,0.3164
SemanticScholar-small,ACS+SND,2,0.2522
SemanticScholar-small,ACS+SND,3,0.3661
SemanticScholar-small,ACS+SND,4,0.235
SemanticScholar-small,ACS+SND,5,0.2623
SemanticScholar-small,ACS+SND,6,0.3262
SemanticScholar-small,ACS+SND,7,0.3307
SemanticScholar-small,ACS+SND,8,0.3866
SemanticScholar-small,ACS+SND,9,0.2153
SemanticScholar-small,ACS+SND,10,0.245
SemanticScholar-small,ACS+SND+R(a),1,0.3164
SemanticScholar-small,ACS+SND+R(a),2,0.2522
SemanticScholar-small,ACS+SND+R(a),3,0.3661
SemanticScholar-small,ACS+SND+R(a),4,0.235
SemanticScholar-small,ACS+SND+R(a),5,0.2623
SemanticScholar-small,ACS+SND+R(a),6,0.3213
SemanticScholar-small,ACS+SND+R(a),7,0.3256
SemanticScholar-small,ACS+SND+R(a),8,0.3866
SemanticScholar-small,ACS+SND+R(a),9,0.2153
SemanticScholar-small,ACS+SND+R(a),10,0.245
