dataset,model,k_reveal,Recall@10
MovieLens-1M,ACS+SND+R(a),9,0.1353
MovieLens-1M,ACS+SND+R(a),10,0.1404
MovieLens-20M,Popularity-Safe,1,0.1914
MovieLens-20M,Popularity-Safe,2,0.1907
MovieLens-20M,Popularity-Safe,3,0.1956
MovieLens-20M,Popularity-Safe,4,0.1983
MovieLens-20M,Popularity-Safe,5,0.1971
MovieLens-20M,Popularity-Safe,6,0.2048
MovieLens-20M,Popularity-Safe,7,0.2103
MovieLens-20M,Popularity-Safe,8,0.2112
MovieLens-20M,Popularity-Safe,9,0.2184
MovieLens-20M,Popularity-Safe,10,0.2216
MovieLens-20M,LinUCB,1,0.0077
MovieLens-20M,LinUCB,2,0.0036
MovieLens-20M,LinUCB,3,0.0038
MovieLens-20M,LinUCB,4,0.0069
MovieLens-20M,LinUCB,5,0.0083
MovieLens-20M,LinUCB,6,0.0098
MovieLens-20M,LinUCB,7,0.0149
MovieLens-20M,LinUCB,8,0.0145
MovieLens-20M,LinUCB,9,0.0117
MovieLens-20M,LinUCB,10,0.012
MovieLens-20M,SND,1,0.1298
MovieLens-20M,SND,2,0.1305
MovieLens-20M,SND,3,0.133
MovieLens-20M,SND,4,0.1312
MovieLens-20M,SND,5,0.1322
MovieLens-20M,SND,6,0.146
MovieLens-20M,SND,7,0.134
MovieLens-20M,SND,8,0.1381
MovieLens-20M,SND,9,0.1663
MovieLens-20M,SND,10,0.1707
MovieLens-20M,ACS+SND,1,0.1892
MovieLens-20M,ACS+SND,2,0.1611
MovieLens-20M,ACS+SND,3,0.152
MovieLens-20M,ACS+SND,4,0.1496
MovieLens-20M,ACS+SND,5,0.141
MovieLens-20M,ACS+SND,6,0.126
MovieLens-20M,ACS+SND,7,0.1123
MovieLens-20M,ACS+SND,8,0.1298
MovieLens-20M,ACS+SND,9,0.1334
MovieLens-20M,ACS+SND,10,0.1353
MovieLens-20M,ACS+SND+R(a),1,0.1587
MovieLens-20M,ACS+SND+R(a),2,0.1457
MovieLens-20M,ACS+SND+R(a),3,0.1496
MovieLens-20M,ACS+SND+R(a),4,0.1478
MovieLens-20M,ACS+SND+R(a),5,0.1398
MovieLens-20M,ACS+SND+R(a),6,0.126
MovieLens-20M,ACS+SND+R(a),7,0.1123
MovieLens-20M,ACS+SND+R(a),8,0.13
MovieLens-20M,ACS+SND+R(a),9,0.1334
MovieLens-20M,ACS+SND+R(a),10,0.1352
MovieLens-25M,Popularity-Safe,1,0.2793
MovieLens-25M,Popularity-Safe,2,0.2829
MovieLens-25M,Popularity-Safe,3,0.2904
MovieLens-25M,Popularity-Safe,4,0.2904
MovieLens-25M,Popularity-Safe,5,0.2918
MovieLens-25M,Popularity-Safe,6,0.3069
MovieLens-25M,Popularity-Safe,7,0.3169
MovieLens-25M,Popularity-Safe,8,0.3211
MovieLens-25M,Popularity-Safe,9,0.3258
MovieLens-25M,Popularity-Safe,10,0.3245
MovieLens-25M,LinUCB,1,0.0048
MovieLens-25M,LinUCB,2,0.0035
MovieLens-25M,LinUCB,3,0.0047
MovieLens-25M,LinUCB,4,0.0023
MovieLens-25M,LinUCB,5,0.0022
MovieLens-25M,LinUCB,6,0.0008
MovieLens-25M,LinUCB,7,0.0007
MovieLens-25M,LinUCB,8,0.0007
MovieLens-25M,LinUCB,9,0.0002
MovieLens-25M,LinUCB,10,0.0002
MovieLens-25M,SND,1,0.1665
MovieLens-25M,SND,2,0.1821
MovieLens-25M,SND,3,0.204
MovieLens-25M,SND,4,0.213
MovieLens-25M,SND,5,0.2273
MovieLens-25M,SND,6,0.2202
MovieLens-25M,SND,7,0.2538
MovieLens-25M,SND,8,0.2525
MovieLens-25M,SND,9,0.2638
MovieLens-25M,SND,10,0.2857
MovieLens-25M,ACS+SND,1,0.2104
MovieLens-25M,ACS+SND,2,0.1993
MovieLens-25M,ACS+SND,3,0.2219
MovieLens-25M,ACS+SND,4,0.2351
MovieLens-25M,ACS+SND,5,0.2356
MovieLens-25M,ACS+SND,6,0.2154
MovieLens-25M,ACS+SND,7,0.2362
MovieLens-25M,ACS+SND,8,0.2294
MovieLens-25M,ACS+SND,9,0.2258
MovieLens-25M,ACS+SND,10,0.2442
MovieLens-25M,ACS+SND+R(a),1,0.1974
MovieLens-25M,ACS+SND+R(a),2,0.1912
MovieLens-25M,ACS+SND+R(a),3,0.212
MovieLens-25M,ACS+SND+R(a),4,0.2291
MovieLens-25M,ACS+SND+R(a),5,0.2284
MovieLens-25M,ACS+SND+R(a),6,0.2138
MovieLens-25M,ACS+SND+R(a),7,0.2337
MovieLens-25M,ACS+SND+R(a),8,0.2292
MovieLens-25M,ACS+SND+R(a),9,0.2255
MovieLens-25M,ACS+SND+R(a),10,0.2442
SemanticScholar-bigger,Popularity-Safe,1,0.1376
SemanticScholar-bigger,Popularity-Safe,2,0.1583
SemanticScholar-bigger,Popularity-Safe,3,0.1378
SemanticScholar-bigger,Popularity-Safe,4,0.1433
SemanticScholar-bigger,Popularity-Safe,5,0.1343
SemanticScholar-bigger,Popularity-Safe,6,0.1025
SemanticScholar-bigger,Popularity-Safe,7,0.1282
SemanticScholar-bigger,Popularity-Safe,8,0.1351
SemanticScholar-bigger,Popularity-Safe,9,0.152
SemanticScholar-bigger,Popularity-Safe,10,0.1298
SemanticScholar-bigger,LinUCB,1,0.027
SemanticScholar-bigger,LinUCB,2,0.0497
SemanticScholar-bigger,LinUCB,3,0.0812
SemanticScholar-bigger,LinUCB,4,0.0992
SemanticScholar-bigger,LinUCB,5,0.1133
SemanticScholar-bigger,LinUCB,6,0.1929
SemanticScholar-bigger,LinUCB,7,0.1124
SemanticScholar-bigger,LinUCB,8,0.1489
SemanticScholar-bigger,LinUCB,9,0.1974
SemanticScholar-bigger,LinUCB,10,0.1758
SemanticScholar-bigger,SND,1,0.6815
SemanticScholar-bigger,SND,2,0.6761
SemanticScholar-bigger,SND,3,0.6764
SemanticScholar-bigger,SND,4,0.6723
SemanticScholar-bigger,SND,5,0.6915
SemanticScholar-bigger,SND,6,0.6119
SemanticScholar-bigger,SND,7,0.5621
SemanticScholar-bigger,SND,8,0.611
SemanticScholar-bigger,SND,9,0.6746
SemanticScholar-bigger,SND,10,0.6208
SemanticScholar-bigger,ACS+SND,1,0.2798
SemanticScholar-bigger,ACS+SND,2,0.3495
SemanticScholar-bigger,ACS+SND,3,0.4912
SemanticScholar-bigger,ACS+SND,4,0.5345
SemanticScholar-bigger,ACS+SND,5,0.7008
SemanticScholar-bigger,ACS+SND,6,0.6427
SemanticScholar-bigger,ACS+SND,7,0.5481
SemanticScholar-bigger,ACS+SND,8,0.5541
SemanticScholar-bigger,ACS+SND,9,0.6079
SemanticScholar-bigger,ACS+SND,10,0.5217
SemanticScholar-bigger,ACS+SND+R(a),1,0.2897
SemanticScholar-bigger,ACS+SND+R(a),2,0.3222
SemanticScholar-bigger,ACS+SND+R(a),3,0.4491
SemanticScholar-bigger,ACS+SND+R(a),4,0.4996
SemanticScholar-bigger,ACS+SND+R(a),5,0.596
SemanticScholar-bigger,ACS+SND+R(a),6,0.5533
SemanticScholar-bigger,ACS+SND+R(a),7,0.435
SemanticScholar-bigger,ACS+SND+R(a),8,0.4849
SemanticScholar-bigger,ACS+SND+R(a),9,0.6032
SemanticScholar-bigger,ACS+SND+R(a),10,0.4896
SemanticScholar-small,Popularity-Safe,1,0.1231
SemanticScholar-small,Popularity-Safe,2,0.0864
SemanticScholar-small,Popularity-Safe,3,0.0864
SemanticScholar-small,Popularity-Safe,4,0.0864
SemanticScholar-small,Popularity-Safe,5,0.0795
SemanticScholar-small,Popularity-Safe,6,0.088
SemanticScholar-small,Popularity-Safe,7,0.1031
SemanticScholar-small,Popularity-Safe,8,0.1031
SemanticScholar-small,Popularity-Safe,9,0.1389
SemanticScholar-small,Popularity-Safe,10,0.125
SemanticScholar-small,LinUCB,1,0.0789
SemanticScholar-small,LinUCB,2,0.08
SemanticScholar-small,LinUCB,3,0.0817
SemanticScholar-small,LinUCB,4,0.1167
SemanticScholar-small,LinUCB,5,0.1056
SemanticScholar-small,LinUCB,6,0.0977
SemanticScholar-small,LinUCB,7,0.1012
SemanticScholar-small,LinUCB,8,0.1012
SemanticScholar-small,LinUCB,9,0.0
SemanticScholar-small,LinUCB,10,0.1
SemanticScholar-small,SND,1,0.5047
SemanticScholar-small,SND,2,0.5431
SemanticScholar-small,SND,3,0.6453
SemanticScholar-small,SND,4,0.73
SemanticScholar-small,SND,5,0.7151
SemanticScholar-small,SND,6,0.7742
SemanticScholar-small,SND,7,0.7304
SemanticScholar-small,SND,8,0.6888
SemanticScholar-small,SND,9,0.7361
SemanticScholar-small,SND,10,0.69
SemanticScholar-small,ACS+SND,1,0.2206
SemanticScholar-small,ACS+SND,2,0.385
SemanticScholar-small,ACS+SND,3,0.3183
SemanticScholar-small,ACS+SND,4,0.3889
SemanticScholar-small,ACS+SND,5,0.3948
SemanticScholar-small,ACS+SND,6,0.3797
SemanticScholar-small,ACS+SND,7,0.3802
SemanticScholar-small,ACS+SND,8,0.4519
SemanticScholar-small,ACS+SND,9,0.6597
SemanticScholar-small,ACS+SND,10,0.6067
SemanticScholar-small,ACS+SND+R(a),1,0.2817
SemanticScholar-small,ACS+SND+R(a),2,0.3517
SemanticScholar-small,ACS+SND+R(a),3,0.3217
SemanticScholar-small,ACS+SND+R(a),4,0.3917
SemanticScholar-small,ACS+SND+R(a),5,0.3598
SemanticScholar-small,ACS+SND+R(a),6,0.3757
SemanticScholar-small,ACS+SND+R(a),7,0.3463
SemanticScholar-small,ACS+SND+R(a),8,0.451
SemanticScholar-small,ACS+SND+R(a),9,0.4931
SemanticScholar-small,ACS+SND+R(a),10,0.3983
